feature,spearman_rho,p_value
cosmetic_cert_count,0.3720982247533378,6.796286400062064e-10
T7_eat_score,0.28032304275325354,4.812380870034613e-06
ambiguous_term_count,0.2441865049947959,7.391082046443107e-05
texture_keyword_count,0.24217834181444406,8.504192427085942e-05
numeric_specificity_ratio,-0.23790380035982372,0.00011418495155093905
Q4_social_proof_count,0.21059756717824338,0.0006627711660201055
claim_keyword_count,0.20730423686424032,0.0008078338456631743
paragraph_count,0.18184118760449017,0.003377693986684678
skin_type_targets_count,0.16098142468952614,0.009594708618701972
active_ingredient_count,0.15945764353939498,0.010309657294382841
image_count,0.09305798701190805,0.13603737903702698
explicit_number_count,0.0928305788278157,0.13700099666923243
no_list_count,0.06801125130242953,0.276428021385216
table_count,0.06796004488745515,0.2767906302423593
Q9_external_authority_count,-0.06326390100519864,0.31141913037775143
list_item_count,0.059466718089405096,0.34141099598271246
section_count,0.04315844286902279,0.4900792772506591
text_length,0.01957894729487199,0.7542902397258535
jsonld_field_count,-0.017445968812254055,0.780333639976573
price_krw,-0.012466635293494701,0.8420443372662234
