brand_ko,top1_count
리얼베리어,169
아누아,159
메디필,135
아비브,112
메디큐브,86
네오팜,83
라곰,82
스킨1004,76
벤튼,76
아로마티카,76
편강율,70
믹순,68
토리든,66
피지오겔,62
바닐라코,58
그레이멜린,57
유이크,57
듀이트리,57
라운드랩,53
스킨푸드,50
일리윤,47
테라비코스,46
은율,45
베네투스,44
나인위시스,38
비플레인,38
원씽,36
숨37,36
와더스킨,33
코스알엑스,33
셀리맥스,31
파파레서피,29
수이스킨,29
아임프롬,29
아토팜,29
에뛰드,28
메디힐,27
닥터지,27
빌리프,27
맥스클리닉,27
닥터오라클,26
일루미엘,25
휩드,25
토니모리,24
리쥬란,22
땡큐파머,22
메디팜,22
에이프릴스킨,21
제이준,20
이니스프리,20
지피덤,19
제이엠솔루션,18
비레디,18
웰라쥬,17
센텔리안24,16
에스트라,16
달바,15
오드로이,15
이아소,15
구달,15
시드물,15
비알엠유디,15
티엘스,14
메디섹션넘버,14
파티온,14
바이오던스,13
바노바기,13
퐁당,13
볼드포뮬러,12
스킨바리스타,11
비욘드,10
성분에디터,10
라로슈포제,9
블랑네이처,9
션리,8
셀퓨전씨,8
피캄,8
퓨어케이,7
비알머드,7
조선미녀,6
클럽클리오,5
엘리메르,5
스트라이덱스,5
이디케이,5
헉슬리,4
닥터벨머,4
넘버즈인,4
더마겐,4
아페리레,3
네이처리퍼블릭,3
식물나라,3
블라이드,3
페이스인페이스,2
주미소,2
잇츠스킨,2
일소,2
오휘,2
이즈앤트리,1
아이소이,1
더후,1
앰플엔,1
