brand_ko,top1_count
리얼베리어,204
토리든,158
라곰,118
메디필,111
듀이트리,104
아비브,99
아누아,98
네오팜,91
아임프롬,82
스킨1004,80
비플레인,79
일리윤,74
바닐라코,71
라운드랩,69
편강율,61
피지오겔,58
은율,55
베네투스,51
메디큐브,47
숨37,45
에뛰드,41
벤튼,38
유이크,37
그레이멜린,37
에스트라,36
테라비코스,36
원씽,35
스킨푸드,34
코스알엑스,34
믹순,32
아토팜,30
이아소,29
와더스킨,28
아로마티카,28
웰라쥬,26
빌리프,25
메디팜,24
휩드,23
닥터벨머,23
맥스클리닉,22
시드물,21
스킨바리스타,21
비알엠유디,20
닥터지,19
아이소이,18
리쥬란,18
땡큐파머,18
지피덤,18
라로슈포제,17
비욘드,17
구달,17
토니모리,17
셀리맥스,17
오휘,16
나인위시스,16
이니스프리,16
수이스킨,15
일루미엘,15
오드로이,15
조선미녀,15
퐁당,15
파파레서피,14
제이준,14
넘버즈인,13
피캄,13
닥터오라클,13
파티온,13
이즈앤트리,12
메디힐,12
더후,11
엘리메르,11
달바,11
에이프릴스킨,10
미샤,9
메이크프렘,8
식물나라,7
제이엠솔루션,7
설화수,7
바이오던스,7
센텔리안24,6
메디섹션넘버,6
볼드포뮬러,6
클럽클리오,4
멜릭서,4
블라이드,4
네이처리퍼블릭,4
바노바기,4
비레디,4
티엘스,3
주미소,3
잇츠스킨,3
성분에디터,3
블랑네이처,3
일소,2
헉슬리,2
스트라이덱스,2
셀퓨전씨,2
퓨어케이,2
아페리레,2
이디케이,2
비알머드,1
앰플엔,1
헤밀르,1
