trial_brand,exposure_count
메디필,840
라곰,612
아누아,586
믹순,522
스킨푸드,512
메디큐브,488
리얼베리어,486
아임프롬,456
은율,450
더후,446
토리든,416
숨37,398
바닐라코,350
에뛰드,336
듀이트리,330
스킨1004,322
벤튼,310
아비브,290
아로마티카,278
와더스킨,276
라운드랩,274
설화수,242
비플레인,236
일리윤,234
편강율,230
나인위시스,220
그레이멜린,210
퐁당,206
네오팜,200
비알엠유디,198
메디힐,186
이아소,180
코스알엑스,160
일소,160
구달,156
수이스킨,152
원씽,150
피캄,150
유이크,150
테라비코스,148
닥터지,142
베네투스,140
이니스프리,140
파파레서피,138
메이크프렘,134
피지오겔,132
제이준,104
일루미엘,104
엘리메르,104
퓨어케이,102
비욘드,92
메디팜,90
에이프릴스킨,88
제이엠솔루션,88
식물나라,88
리쥬란,86
땡큐파머,84
페이스인페이스,82
에스트라,82
잇츠스킨,82
비알머드,82
닥터벨머,80
스킨바리스타,80
이즈앤트리,78
오드로이,78
닥터오라클,78
빌리프,78
아크웰,78
실크크리스탈,76
아이소이,76
지피덤,76
헉슬리,74
웰라쥬,74
휩드,74
블랑네이처,72
아페리레,72
성분에디터,70
시드물,70
맥스클리닉,70
헤밀르,70
파티온,70
주미소,70
션리,70
바노바기,68
멜릭서,68
김소형풀,68
셀리맥스,68
오휘,66
바이오던스,66
센텔리안24,64
라로슈포제,64
미샤,64
비레디,62
넘버즈인,62
더마겐,60
메디섹션넘버,60
아토팜,60
네이처리퍼블릭,58
달바,58
블라이드,58
볼드포뮬러,58
토니모리,58
셀퓨전씨,56
앰플엔,54
티엘스,52
유리피부,52
클럽클리오,52
언리시아,48
스트라이덱스,44
조선미녀,44
이디케이,44
