engine_a,engine_b,set_id,input_sku1,input_sku2,input_sku3,duplicate_input_brand_trial,anthropic_top1,anthropic_rank2,anthropic_rank3,openai_top1,openai_rank2,openai_rank3,top1_match,full_rank_match,complete_pair,agreement_signature
anthropic,openai,main_00001,더후,에뛰드,아로마티카,False,아로마티카,더후,에뛰드,아로마티카,에뛰드,더후,True,False,True,아로마티카 > 더후 > 에뛰드 || 아로마티카 > 에뛰드 > 더후
anthropic,openai,main_00006,유이크,에스트라,스킨푸드,False,에스트라,유이크,스킨푸드,에스트라,유이크,스킨푸드,True,True,True,에스트라 > 유이크 > 스킨푸드 || 에스트라 > 유이크 > 스킨푸드
anthropic,openai,main_00018,스킨1004,메디힐,에뛰드,False,메디힐,스킨1004,에뛰드,스킨1004,에뛰드,메디힐,False,False,True,메디힐 > 스킨1004 > 에뛰드 || 스킨1004 > 에뛰드 > 메디힐
anthropic,openai,main_00023,메디큐브,아크웰,더후,False,메디큐브,더후,아크웰,더후,메디큐브,아크웰,False,False,True,메디큐브 > 더후 > 아크웰 || 더후 > 메디큐브 > 아크웰
anthropic,openai,main_00025,와더스킨,메디팜,미샤,False,메디팜,와더스킨,미샤,메디팜,미샤,와더스킨,True,False,True,메디팜 > 와더스킨 > 미샤 || 메디팜 > 미샤 > 와더스킨
anthropic,openai,main_00030,셀퓨전씨,베네투스,이니스프리,False,베네투스,셀퓨전씨,이니스프리,베네투스,이니스프리,셀퓨전씨,True,False,True,베네투스 > 셀퓨전씨 > 이니스프리 || 베네투스 > 이니스프리 > 셀퓨전씨
anthropic,openai,main_00034,메디섹션넘버,편강율,스킨푸드,False,메디섹션넘버,편강율,스킨푸드,편강율,메디섹션넘버,스킨푸드,False,False,True,메디섹션넘버 > 편강율 > 스킨푸드 || 편강율 > 메디섹션넘버 > 스킨푸드
anthropic,openai,main_00040,리얼베리어,스킨1004,일소,False,리얼베리어,스킨1004,일소,리얼베리어,스킨1004,일소,True,True,True,리얼베리어 > 스킨1004 > 일소 || 리얼베리어 > 스킨1004 > 일소
anthropic,openai,main_00042,유이크,은율,코스알엑스,False,유이크,코스알엑스,은율,유이크,코스알엑스,은율,True,True,True,유이크 > 코스알엑스 > 은율 || 유이크 > 코스알엑스 > 은율
anthropic,openai,main_00044,나인위시스,아누아,스킨1004,False,아누아,나인위시스,스킨1004,스킨1004,나인위시스,아누아,False,False,True,아누아 > 나인위시스 > 스킨1004 || 스킨1004 > 나인위시스 > 아누아
anthropic,openai,main_00045,오드로이,메이크프렘,원씽,False,원씽,오드로이,메이크프렘,원씽,오드로이,메이크프렘,True,True,True,원씽 > 오드로이 > 메이크프렘 || 원씽 > 오드로이 > 메이크프렘
anthropic,openai,main_00048,나인위시스,믹순,테라비코스,False,테라비코스,믹순,나인위시스,테라비코스,믹순,나인위시스,True,True,True,테라비코스 > 믹순 > 나인위시스 || 테라비코스 > 믹순 > 나인위시스
