set_id,item_triplet,brand_triplet,n_items,n_unique_items,n_unique_brands
r2_main_00120,https://medipeel.co.kr/product/detail.html?product_no=2755&cate_no=499&display_group=1 | https://medipeel.co.kr/product/detail.html?product_no=2821&cate_no=499&display_group=1 | https://medipeel.co.kr/product/detail.html?product_no=3240&cate_no=499&display_group=1,메디필 | 메디필 | 메디필,3,3,1
r2_main_00374,https://medipeel.co.kr/product/detail.html?product_no=2681&cate_no=499&display_group=1 | https://medipeel.co.kr/product/detail.html?product_no=2834&cate_no=499&display_group=1 | https://medipeel.co.kr/product/detail.html?product_no=3747&cate_no=499&display_group=1,메디필 | 메디필 | 메디필,3,3,1
r2_main_00641,https://medipeel.co.kr/product/detail.html?product_no=3240&cate_no=499&display_group=1 | https://medipeel.co.kr/product/detail.html?product_no=3409&cate_no=499&display_group=1 | https://medipeel.co.kr/product/detail.html?product_no=3916&cate_no=728&display_group=1,메디필 | 메디필 | 메디필,3,3,1
r2_main_00941,https://banila.com/product/detail.html?product_no=1154&cate_no=214&display_group=1 | https://banila.com/product/detail.html?product_no=676&cate_no=214&display_group=1 | https://banila.com/product/detail.html?product_no=680,바닐라코 | 바닐라코 | 바닐라코,3,3,1
main_00141,https://aperire.co.kr/product/new-%EB%B9%84-%ED%94%84%EB%A1%9C%EC%A6%8C-%ED%8F%AC%EC%96%B4-%ED%8C%A9-%ED%88%AC-%ED%8F%BC-%ED%81%B4%EB%A0%8C%EC%A0%80/159/ | https://www.etude.com/shop/category/cleanser/cleanser-all/%eb%bd%80%ec%98%a4%ec%96%80-%eb%af%b8%ec%86%8c-%eb%b0%9c%ed%9a%a8-%ed%81%b4%eb%a0%8c%ec%a7%95-%ed%8f%bc-150ml/ | https://www.etude.com/shop/category/cleanser/cleanser-all/%ec%88%9c%ec%a0%95-%ec%95%bd%ec%82%b0%ec%84%b1-5-5-%ed%8f%bc-%ed%81%b4%eb%a0%8c%ec%a0%80-150ml-2/,아페리레 | 에뛰드 | 에뛰드,3,3,2
main_00149,https://9wishes.co.kr/product/%ED%95%98%EC%9D%B4%EB%93%9C%EB%9D%BC-%EB%A7%88%EC%9D%BC%EB%93%9C-%ED%8F%BC-%ED%81%B4%EB%A0%8C%EC%A0%80-200ml/278/category/78/display/1/ | https://www.theskinfood.com/shop/shopdetail.html?branduid=10322201&search=%ED%8F%BC&sort=order&xcode=008&mcode=000&scode=&GfDT=aWV%2B | https://www.theskinfood.com/shop/shopdetail.html?branduid=10323543&search=%ED%8F%BC&sort=order&xcode=008&mcode=000&scode=&GfDT=bm91W1w%3D,나인위시스 | 스킨푸드 | 스킨푸드,3,3,2
main_00329,https://myrealbarrier.co.kr/product/detail.html?product_no=85 | https://www.theskinfood.com/shop/shopdetail.html?branduid=10321966&search=%ED%8F%BC&sort=order&xcode=005&mcode=042&scode=&GfDT=bml9W1Q%3D# | https://www.theskinfood.com/shop/shopdetail.html?branduid=1464&search=%ED%8F%BC&sort=order&xcode=005&mcode=034&scode=&GfDT=bG53VQ%3D%3D,리얼베리어 | 스킨푸드 | 스킨푸드,3,3,2
main_00358,https://illiyoon.com/product/detail.html?product_no=275 | https://illiyoon.com/product/detail.html?product_no=276 | https://illumiel.co.kr/product/%EC%9D%BC%EB%A3%A8%EB%AF%B8%EC%97%98-%EB%A7%88%EC%9D%BC%EB%93%9C-%ED%81%B4%EB%A6%AC%EC%96%B4-%EC%88%9C%EC%8B%B9-%ED%81%B4%EB%A0%8C%EC%A7%95-%ED%8F%BC-150ml/28/category/51/display/1/,일루미엘 | 일리윤 | 일리윤,3,3,2
main_00488,https://anua.kr/product/detail.html?product_no=420 | https://www.theskinfood.com/shop/shopdetail.html?branduid=10323543&search=%ED%8F%BC&sort=order&xcode=008&mcode=000&scode=&GfDT=bm91W1w%3D | https://www.theskinfood.com/shop/shopdetail.html?branduid=1796&search=%ED%8F%BC&sort=order&xcode=005&mcode=033&scode=&GfDT=bm18W1o%3D,스킨푸드 | 스킨푸드 | 아누아,3,3,2
main_00753,https://anua.kr/product/detail.html?product_no=214 | https://anua.kr/product/detail.html?product_no=254 | https://dermagen.co.kr/product/%EB%8D%94%EB%A7%88%EA%B2%90-%EC%95%84%ED%81%AC%EC%8B%B9-%ED%8F%BC%ED%81%B4%EB%A0%8C%EC%A7%95-180ml/62/,더마겐 | 아누아 | 아누아,3,3,2
main_00818,https://roundlab.co.kr/product/detail.html?product_no=140 | https://roundlab.co.kr/product/detail.html?product_no=160 | https://skin1004korea.com/product/마다가스카르-센텔라-앰플-폼-125ml/272/category/131/display/1/,라운드랩 | 라운드랩 | 스킨1004,3,3,2
main_00911,https://anua.kr/product/detail.html?product_no=348 | https://www.theskinfood.com/shop/shopdetail.html?branduid=10323543&search=%ED%8F%BC&sort=order&xcode=008&mcode=000&scode=&GfDT=bm91W1w%3D | https://www.theskinfood.com/shop/shopdetail.html?branduid=993&xcode=036&mcode=001&scode=003,스킨푸드 | 스킨푸드 | 아누아,3,3,2
main_00937,https://clubclio.co.kr/shop/goodsView/0000005485 | https://www.sulwhasoo.com/kr/ko/products/gentle-cleansing-foam-ex.html | https://www.sulwhasoo.com/kr/ko/products/the-ultimate-s-enriched-cleansing-foam.html,설화수 | 설화수 | 클럽클리오,3,3,2
main_00975,https://eunyul.co.kr/product/%EB%A7%88%EC%9C%A0-%ED%8F%BC%ED%81%B4%EB%A0%8C%EC%A7%95-150ml/16/category/45/display/1/ | https://www.iaso.co.kr/shop/shopdetail.html?branduid=2542486&xcode=005&mcode=001&scode=&type=Y&sort=manual&current_category=005001&search=&GfDT=bm95W1U%3D | https://www.iaso.co.kr/shop/shopdetail.html?branduid=2558230&xcode=005&mcode=001&scode=&type=Y&sort=manual&current_category=005001&search=&GfDT=bmt7W1k%3D,은율 | 이아소 | 이아소,3,3,2
main_01254,https://myrealbarrier.co.kr/product/detail.html?product_no=71 | https://myrealbarrier.co.kr/product/detail.html?product_no=87&cate_no=48&display_group=1 | https://www.beplain.co.kr/shop/shopdetail.html?branduid=10739138&xcode=013&mcode=001&scode=&type=Y&sort=manual&current_category=013001&search=&GfDT=bmt8W1o%3D,리얼베리어 | 리얼베리어 | 비플레인,3,3,2
main_01314,https://myrealbarrier.co.kr/product/detail.html?product_no=125 | https://myrealbarrier.co.kr/product/detail.html?product_no=68 | https://theuiq.com/product/%EB%B0%94%EC%9D%B4%EC%98%B4-%EB%A0%88%EB%AF%B8%EB%94%94-%EC%95%84%ED%81%AC%EB%84%A4-%ED%81%B4%EB%A0%8C%EC%A7%95-%ED%8F%BC-150ml/393/category/45/display/1/,리얼베리어 | 리얼베리어 | 유이크,3,3,2
