feature,rank_1_median,rank_2_median,rank_3_median
text_length,9513.0,9083.0,8555.0
image_count,76.0,67.0,67.5
table_count,6.0,5.0,5.0
list_item_count,133.0,113.0,112.0
paragraph_count,46.0,42.0,39.0
section_count,13.0,13.0,13.0
jsonld_field_count,6.0,6.0,6.0
explicit_number_count,23.0,22.0,21.0
ambiguous_term_count,0.0,0.0,0.0
numeric_specificity_ratio,1.0,1.0,1.0
price_krw,17000.0,17500.0,17000.0
skin_type_targets_count,3.0,2.0,2.0
ph_value,5.5,6.3,6.3
active_ingredient_count,3.0,3.0,2.0
claim_keyword_count,10.0,7.0,5.0
texture_keyword_count,1.0,0.0,0.0
no_list_count,0.0,0.0,0.0
cosmetic_cert_count,0.0,0.0,0.0
volume_ml,150.0,150.0,150.0
aggregate_rating_value,4.9,4.9,4.9
aggregate_rating_count,101.0,70.0,41.0
T7_eat_score,2.0,2.0,2.0
Q4_social_proof_count,2.0,2.0,1.0
Q9_external_authority_count,0.0,0.0,0.0
price_per_ml,100.0,110.0,124.83333333333334
