set_id,engine,round,sku_pos,brand_ko,ai_rank,resolved_url,is_ambiguous,text_length,image_count,table_count,list_item_count,paragraph_count,section_count,jsonld_field_count,explicit_number_count,ambiguous_term_count,numeric_specificity_ratio,price_krw,skin_type_targets_count,ph_value,active_ingredient_count,claim_keyword_count,texture_keyword_count,no_list_count,cosmetic_cert_count,volume_ml,aggregate_rating_value,aggregate_rating_count,T7_eat_score,Q4_social_proof_count,Q9_external_authority_count
main_02398,openai,round1,1,에뛰드,1,https://www.etude.com/shop/category/cleanser/cleanser-all/%ec%88%9c%ec%a0%95-%ec%95%bd%ec%82%b0%ec%84%b1-5-5-%ed%8f%bc-%ed%81%b4%eb%a0%8c%ec%a0%80-150ml-2/,False,4603.0,41.0,3.0,366.0,16.0,23.0,6.0,22.0,0.0,1.0,12000.0,0.0,,3.0,12.0,0.0,1.0,0.0,150.0,,,1.0,0.0,0.0
main_02398,openai,round1,3,스킨바리스타,2,https://pioom.co.kr/product/%EC%8A%A4%ED%82%A8%EB%B0%94%EB%A6%AC%EC%8A%A4%ED%83%80-%EC%8C%80%EA%B2%A8-%ED%81%B4%EB%A0%8C%EC%A7%95-%ED%8F%BC-500ml/226/category/12/display/1/,False,9083.0,585.0,5.0,756.0,70.0,8.0,6.0,17.0,0.0,1.0,23000.0,0.0,,1.0,3.0,2.0,0.0,0.0,500.0,5.0,36.0,1.0,1.0,0.0
main_02398,openai,round1,2,테라비코스,3,,True,11248.5,130.5,7.5,130.0,78.0,10.5,10.0,16.0,0.0,1.0,19500.0,6.0,,3.5,16.0,0.0,0.0,0.5,150.0,4.8,89.0,1.5,3.0,0.0
main_00154,openai,round1,2,비플레인,1,https://www.beplain.co.kr/shop/shopdetail.html?branduid=10739403&xcode=013&mcode=001&scode=&type=Y&sort=manual&current_category=013001&search=&GfDT=bm17W10%3D,False,3430.0,37.0,5.0,56.0,35.0,17.0,6.0,39.0,0.0,1.0,10500.0,3.0,,4.0,3.0,0.0,0.0,0.0,120.0,,,1.0,1.0,0.0
main_00154,openai,round1,3,은율,2,https://eunyul.co.kr/product/%EB%8D%B0%EC%9D%BC%EB%A6%AC-%EC%BC%80%EC%96%B4-%EB%94%A5-%EB%B2%84%EB%B8%94-%ED%8F%BC%ED%81%B4%EB%A0%8C%EC%A0%80-500ml/117/category/45/display/1/,False,3845.0,94.0,6.0,113.0,16.0,12.0,6.0,15.0,0.0,1.0,12800.0,1.0,,1.0,4.0,0.0,0.0,0.0,500.0,5.0,5.0,1.0,1.0,0.0
main_00154,openai,round1,1,메디큐브,3,https://themedicube.co.kr/product/유튜버-pick-제로-폼-클렌저/356,False,12906.0,104.0,5.0,113.0,66.0,4.0,9.0,31.0,0.0,1.0,17500.0,2.0,,3.0,12.0,1.0,0.0,0.0,,4.8,4891.0,2.0,3.0,1.0
main_00154,anthropic,round1,1,메디큐브,1,https://themedicube.co.kr/product/유튜버-pick-제로-폼-클렌저/356,False,12906.0,104.0,5.0,113.0,66.0,4.0,9.0,31.0,0.0,1.0,17500.0,2.0,,3.0,12.0,1.0,0.0,0.0,,4.8,4891.0,2.0,3.0,1.0
main_00154,anthropic,round1,2,비플레인,2,https://www.beplain.co.kr/shop/shopdetail.html?branduid=10739403&xcode=013&mcode=001&scode=&type=Y&sort=manual&current_category=013001&search=&GfDT=bm17W10%3D,False,3430.0,37.0,5.0,56.0,35.0,17.0,6.0,39.0,0.0,1.0,10500.0,3.0,,4.0,3.0,0.0,0.0,0.0,120.0,,,1.0,1.0,0.0
main_00154,anthropic,round1,3,은율,3,https://eunyul.co.kr/product/%EB%8D%B0%EC%9D%BC%EB%A6%AC-%EC%BC%80%EC%96%B4-%EB%94%A5-%EB%B2%84%EB%B8%94-%ED%8F%BC%ED%81%B4%EB%A0%8C%EC%A0%80-500ml/117/category/45/display/1/,False,3845.0,94.0,6.0,113.0,16.0,12.0,6.0,15.0,0.0,1.0,12800.0,1.0,,1.0,4.0,0.0,0.0,0.0,500.0,5.0,5.0,1.0,1.0,0.0
main_02398,anthropic,round1,2,테라비코스,1,,True,11248.5,130.5,7.5,130.0,78.0,10.5,10.0,16.0,0.0,1.0,19500.0,6.0,,3.5,16.0,0.0,0.0,0.5,150.0,4.8,89.0,1.5,3.0,0.0
main_02398,anthropic,round1,1,에뛰드,2,https://www.etude.com/shop/category/cleanser/cleanser-all/%ec%88%9c%ec%a0%95-%ec%95%bd%ec%82%b0%ec%84%b1-5-5-%ed%8f%bc-%ed%81%b4%eb%a0%8c%ec%a0%80-150ml-2/,False,4603.0,41.0,3.0,366.0,16.0,23.0,6.0,22.0,0.0,1.0,12000.0,0.0,,3.0,12.0,0.0,1.0,0.0,150.0,,,1.0,0.0,0.0
main_02398,anthropic,round1,3,스킨바리스타,3,https://pioom.co.kr/product/%EC%8A%A4%ED%82%A8%EB%B0%94%EB%A6%AC%EC%8A%A4%ED%83%80-%EC%8C%80%EA%B2%A8-%ED%81%B4%EB%A0%8C%EC%A7%95-%ED%8F%BC-500ml/226/category/12/display/1/,False,9083.0,585.0,5.0,756.0,70.0,8.0,6.0,17.0,0.0,1.0,23000.0,0.0,,1.0,3.0,2.0,0.0,0.0,500.0,5.0,36.0,1.0,1.0,0.0
main_00159,openai,round1,1,스킨푸드,1,https://www.theskinfood.com/shop/shopdetail.html?branduid=10322201&search=%ED%8F%BC&sort=order&xcode=008&mcode=000&scode=&GfDT=aWV%2B,False,6596.0,41.0,4.0,368.0,23.0,13.0,8.0,27.0,0.0,1.0,16000.0,2.0,,4.0,31.0,0.0,0.0,0.0,150.0,,,1.0,2.0,0.0
main_00159,openai,round1,3,와더스킨,2,https://whataskin.co.kr/product/aa-p-%ED%8C%90%ED%85%8C%EB%86%80-%EC%A0%A4-%ED%81%B4%EB%A0%8C%EC%A7%95-%ED%8F%BC%ED%81%B4%EB%A0%8C%EC%A7%95-200ml/25/category/29/display/1/,False,10545.0,40.0,7.0,90.0,26.0,17.0,5.0,17.0,0.0,1.0,22000.0,0.0,,2.0,0.0,0.0,0.0,0.0,200.0,,,0.0,0.0,0.0
